model,lambda,replications,arrived_mean,served_mean,dropped_mean,instant_nsys_mean,instant_nsys_ci95_low,instant_nsys_ci95_high,instant_nq_mean,instant_nq_ci95_low,instant_nq_ci95_high,total_nsys_mean,total_nsys_ci95_low,total_nsys_ci95_high,total_nq_mean,total_nq_ci95_low,total_nq_ci95_high,total_wait_mean,total_wait_ci95_low,total_wait_ci95_high,total_sojourn_mean,total_sojourn_ci95_low,total_sojourn_ci95_high,avg_nsys_mean,avg_nsys_ci95_low,avg_nsys_ci95_high,avg_nq_mean,avg_nq_ci95_low,avg_nq_ci95_high,avg_wait_mean,avg_wait_ci95_low,avg_wait_ci95_high,avg_sojourn_mean,avg_sojourn_ci95_low,avg_sojourn_ci95_high,drop_prob_mean,drop_prob_ci95_low,drop_prob_ci95_high
M/M/3/8,4.0,100,117.46,116.96,0.0,0.5,0.3539102254700137,0.6460897745299863,0.0,0.0,0.0,14.76071263334132,14.402877452597396,15.118547814085245,0.09714499504444353,0.0662338818779952,0.12805610821089186,0.19351119361288496,0.13164745953489654,0.2553749276908734,14.724187903303052,14.365376401945193,15.082999404660912,0.49202375444471064,0.4800959150865798,0.5039515938028415,0.0032381665014814516,0.002207796062599841,0.0042685369403630624,0.0016332649769724744,0.0011161276897810142,0.0021504022641639347,0.12601651822634138,0.12352330748408205,0.12850972896860072,0.0,0.0,0.0
M/M/3/8,6.0,100,172.67,171.86,0.01,0.8,0.6328506383772015,0.9671493616227986,0.01,-0.0096,0.0296,21.76127983465501,21.25156861039975,22.27099105891027,0.40447454323286797,0.33065733262716024,0.4782917538385757,0.8077298610191567,0.6599078607494011,0.9555518612889122,21.69162446503546,21.183372217046646,22.199876713024274,0.7253759944885004,0.7083856203466584,0.7423663686303424,0.013482484774428932,0.011021911087572007,0.015943058461285856,0.004587807912465665,0.0037928025848887174,0.005382813240042613,0.12615221728048895,0.12401444144415535,0.12828999311682254,5.128205128205128e-05,-4.9230769230769225e-05,0.00015179487179487177
M/M/3/8,8.0,100,231.52,230.4,0.05,1.07,0.8784962178288414,1.2615037821711588,0.02,-0.007578237650712777,0.04757823765071278,30.093359292024164,29.53656438949705,30.650154194551277,1.156064015360866,1.0300009962228254,1.2821270344989064,2.3080053717402156,2.055798609585971,2.5602121338944603,29.991178698300793,29.430859029401287,30.5514983672003,1.0031119764008054,0.9845521463165684,1.0216718064850425,0.03853546717869553,0.03433336654076084,0.04273756781663021,0.009963665083414149,0.008881438182814356,0.011045891984013942,0.13011283920851124,0.1284188520115054,0.13180682640551708,0.0002205859122156937,-3.5055728126388104e-05,0.0004762275525577755
M/M/3/8,12.0,100,348.64,345.53,1.28,1.83,1.5159857533953165,2.1440142466046836,0.25,0.09148938154932282,0.40851061845067715,49.17226352508152,48.188448139527644,50.156078910635394,5.984810199722756,5.528823063000931,6.440797336444581,11.914925542053709,11.011091456690089,12.818759627417329,48.95172666896972,47.97311991522412,49.93033342271532,1.6390754508360508,1.6062816046509216,1.67186929702118,0.19949367332409187,0.18429410210003103,0.21469324454815272,0.034229388507502116,0.03176689012113276,0.03669188689387147,0.1415740638316935,0.13936135957183907,0.14378676809154792,0.0035977032411278133,0.002544866990796173,0.004650539491459453
